app,open,duration,sec
App Usage Tracker,1/24/2018 15:57,1s,1
My Files,1/24/2018 15:57,1s,1
App Usage Tracker,1/24/2018 15:57,6s,6
App Usage Tracker,1/24/2018 15:57,37s,37
Device maintenance,1/24/2018 15:58,12s,12
Device maintenance,1/24/2018 15:59,6s,6
Device maintenance,1/24/2018 15:59,5s,5
Device maintenance,1/24/2018 15:59,25s,25
Device maintenance,1/24/2018 16:05,1m 30s,90
Device maintenance,1/24/2018 16:06,1s,1
App Usage Tracker,1/24/2018 16:10,6s,6
My Files,1/24/2018 16:12,10s,10
My Files,1/24/2018 16:12,18s,18
Gmail,1/24/2018 16:30,5s,5
Messages,1/24/2018 16:46,22s,22
Messages,1/24/2018 16:46,1s,1
App Usage Tracker,1/24/2018 16:46,39s,39
MTP application,1/24/2018 16:47,4s,4
App Usage Tracker,1/24/2018 16:47,1m 9s,69
Android System,1/24/2018 16:48,10s,10
Gmail,1/24/2018 16:48,11s,11
App Usage Tracker,1/24/2018 16:48,56s,56
Firefox,1/24/2018 16:55,2m 29s,149
Messages,1/24/2018 17:05,29s,29
Messages,1/24/2018 17:05,3s,3
Gmail,1/24/2018 17:07,4s,4
Gmail,1/24/2018 17:07,1s,1
Contacts,1/24/2018 17:08,5s,5
Contacts,1/24/2018 17:19,5s,5
Contacts,1/24/2018 17:19,2s,2
Contacts,1/24/2018 17:19,6s,6
Messages,1/24/2018 17:19,17s,17
Phone,1/24/2018 17:19,36s,36
Messages,1/24/2018 17:20,5s,5
Phone,1/24/2018 17:21,1m 1s,61
Phone,1/24/2018 17:22,4s,4
Gmail,1/24/2018 17:36,13s,13
Messages,1/24/2018 17:36,1s,1
Messages,1/24/2018 17:38,32s,32
Messages,1/24/2018 17:39,3s,3
Messages,1/24/2018 17:43,29s,29
Messages,1/24/2018 17:44,36s,36
Messages,1/24/2018 17:44,10s,10
Messages,1/24/2018 17:45,1s,1
Contacts,1/24/2018 17:45,11s,11
Contacts,1/24/2018 17:45,22s,22
Phone,1/24/2018 17:45,3s,3
Phone,1/24/2018 17:48,2s,2
Messages,1/24/2018 17:48,17s,17
Messages,1/24/2018 17:56,9s,9
Contacts,1/24/2018 17:56,1s,1
Messages,1/24/2018 17:56,46s,46
Messages,1/24/2018 18:01,11s,11
Messages,1/24/2018 18:01,2s,2
Netflix,1/24/2018 18:03,30s,30
Netflix,1/24/2018 18:03,1m 5s,65
Netflix,1/24/2018 18:05,20s,20
Netflix,1/24/2018 18:17,3m 4s,184
Messages,1/24/2018 18:20,8s,8
Netflix,1/24/2018 18:20,2s,2
System UI,1/24/2018 18:20,1s,1
Instagram,1/24/2018 18:20,40s,40
Calendar,1/24/2018 18:21,8s,8
Gmail,1/24/2018 18:21,55s,55
Instagram,1/24/2018 18:22,16s,16
Messenger Lite,1/24/2018 18:23,7s,7
Instagram,1/24/2018 18:23,9m 16s,556
Instagram,1/24/2018 18:32,20s,20
Instagram,1/24/2018 18:32,3m 6s,186
Messenger Lite,1/24/2018 18:35,1s,1
Messenger Lite,1/24/2018 18:35,11s,11
Instagram,1/24/2018 18:36,49s,49
Messages,1/24/2018 19:18,4s,4
Phone,1/24/2018 19:18,9s,9
Phone,1/24/2018 19:19,2s,2
Messages,1/24/2018 19:30,1s,1
Messages,1/24/2018 19:30,6s,6
Messages,1/24/2018 19:32,22s,22
Messages,1/24/2018 19:33,4s,4
Netflix,1/24/2018 19:33,2s,2
Netflix,1/24/2018 19:33,3s,3
Netflix,1/24/2018 19:33,20m 16s,1216
Messages,1/24/2018 19:53,21s,21
Netflix,1/24/2018 19:53,1m 43s,103
Messages,1/24/2018 19:55,35s,35
Netflix,1/24/2018 19:56,17m 17s,1037
Phone,1/24/2018 20:13,1m 17s,77
Phone,1/24/2018 20:14,1m 2s,62
Phone,1/24/2018 20:24,5s,5
Netflix,1/24/2018 20:24,4m 7s,247
Messages,1/24/2018 20:28,13s,13
Netflix,1/24/2018 20:28,2m 1s,121
Netflix,1/24/2018 20:30,48s,48
Netflix,1/24/2018 20:31,2m 17s,137
Netflix,1/24/2018 20:33,1s,1
Netflix,1/24/2018 20:33,24m 20s,1460
Netflix,1/24/2018 20:58,23m 28s,1408
Messages,1/24/2018 21:21,9s,9
Instagram,1/24/2018 21:21,8s,8
Instagram,1/24/2018 21:22,41s,41
Netflix,1/24/2018 21:22,3s,3
Netflix,1/24/2018 21:22,17m 8s,1028
Netflix,1/24/2018 21:40,22m 23s,1343
Netflix,1/25/2018 1:18,3s,3
Gmail,1/25/2018 7:12,3m 31s,211
Gmail,1/25/2018 7:16,4s,4
Messages,1/25/2018 7:16,4s,4
Instagram,1/25/2018 7:16,9s,9
Instagram,1/25/2018 7:16,15s,15
Instagram,1/25/2018 7:16,4s,4
Gmail,1/25/2018 7:17,3s,3
Messenger Lite,1/25/2018 7:17,3s,3
Gmail,1/25/2018 7:17,48s,48
Gmail,1/25/2018 7:18,5s,5
Software update,1/25/2018 7:26,8s,8
Software update,1/25/2018 7:27,4s,4
Google Play Store,1/25/2018 7:36,4s,4
Messenger Lite,1/25/2018 7:37,2s,2
Software update,1/25/2018 7:37,3s,3
Software update,1/25/2018 7:41,1s,1
Instagram,1/25/2018 7:56,1m ,60
Messages,1/25/2018 7:57,9s,9
Messages,1/25/2018 7:58,1s,1
Messages,1/25/2018 7:58,8s,8
Messages,1/25/2018 8:09,1m 50s,110
Messages,1/25/2018 8:10,10s,10
Gmail,1/25/2018 8:11,4s,4
Instagram,1/25/2018 8:11,9s,9
Instagram,1/25/2018 8:11,1m 30s,90
Gmail,1/25/2018 8:13,47s,47
Maps,1/25/2018 8:14,3s,3
Gmail,1/25/2018 8:14,4s,4
Instagram,1/25/2018 8:14,45s,45
Messages,1/25/2018 8:36,16s,16
Messages,1/25/2018 8:36,2s,2
Messages,1/25/2018 8:36,1m 3s,63
Messages,1/25/2018 8:41,37s,37
Messages,1/25/2018 8:42,2m 10s,130
Gmail,1/25/2018 8:49,5s,5
Google Play services,1/25/2018 8:49,7s,7
Gmail,1/25/2018 8:49,1s,1
Gmail,1/25/2018 9:22,1m 4s,64
Gmail,1/25/2018 9:23,32s,32
Camera,1/25/2018 9:25,32s,32
Gallery,1/25/2018 9:25,4s,4
Photo Editor,1/25/2018 9:25,11s,11
Gallery,1/25/2018 9:25,2s,2
Android System,1/25/2018 9:25,4s,4
Dropbox,1/25/2018 9:26,59s,59
Dropbox,1/25/2018 9:27,2s,2
Gallery,1/25/2018 9:29,59s,59
Gallery,1/25/2018 9:30,1s,1
Camera,1/25/2018 9:30,5s,5
Android System,1/25/2018 9:30,2s,2
Gallery,1/25/2018 9:30,1s,1
Dropbox,1/25/2018 9:30,1s,1
Gallery,1/25/2018 9:39,59s,59
Gallery,1/25/2018 9:40,1s,1
Camera,1/25/2018 9:40,27s,27
Gallery,1/25/2018 9:41,4s,4
Android System,1/25/2018 9:41,1s,1
Dropbox,1/25/2018 9:41,6s,6
Gallery,1/25/2018 9:44,55s,55
System UI,1/25/2018 9:45,1s,1
Phone,1/25/2018 9:45,41s,41
Contacts,1/25/2018 9:46,6s,6
Camera,1/25/2018 9:46,11s,11
Gallery,1/25/2018 9:47,4s,4
Phone,1/25/2018 9:47,1m 12s,72
Phone,1/25/2018 9:50,1s,1
Gallery,1/25/2018 9:50,4s,4
Android System,1/25/2018 9:50,5s,5
Dropbox,1/25/2018 9:50,4s,4
Gallery,1/25/2018 9:50,59s,59
Gallery,1/25/2018 9:58,7s,7
Messages,1/25/2018 10:03,24s,24
Messages,1/25/2018 10:03,21s,21
Messages,1/25/2018 10:04,16s,16
Messages,1/25/2018 10:04,3s,3
Messages,1/25/2018 10:05,1s,1
Messages,1/25/2018 10:05,1m ,60
Messages,1/25/2018 10:20,1m ,60
Messages,1/25/2018 10:21,1s,1
Pandora,1/25/2018 10:25,1s,1
Netflix,1/25/2018 10:25,2s,2
Netflix,1/25/2018 10:25,5s,5
Netflix,1/25/2018 10:26,4m 16s,256
Pandora,1/25/2018 10:30,13s,13
Messages,1/25/2018 10:32,2s,2
Pandora,1/25/2018 10:32,1s,1
Messages,1/25/2018 10:36,16s,16
Pandora,1/25/2018 10:36,7s,7
Messages,1/25/2018 10:41,17s,17
Messages,1/25/2018 10:41,1s,1
Pandora,1/25/2018 10:43,2s,2
Messages,1/25/2018 10:43,1s,1
Messages,1/25/2018 10:43,15s,15
Messages,1/25/2018 10:45,1s,1
Messages,1/25/2018 10:47,10s,10
Gmail,1/25/2018 10:47,20s,20
Pandora,1/25/2018 11:05,1s,1
Gmail,1/25/2018 11:09,13s,13
Instagram,1/25/2018 11:30,10s,10
